question_id,question,human_category
41,One of the following pairs (chat abbreviation - its  meaning) is wrong.,historia
42,One of these things will not help you to get in touch with your neighbours PC.,ciencia
43,If they call me a newbie then I am new to the Internet; and/or new to the subject in general.,entretenimiento
44,"In chat jargon, the emoticon  [8-] refers to this person.",entretenimiento
45,"The medical term cardio, deriving from a Greek word, refers to which organ of the human body?",ciencia
46,The term arthro is of Greek origin. It refers to which part of the body?,ciencia
47,"Gastro is a common medical prefix, derived from the Greek word gastros which means what?",ciencia
48,"The word hepato, which derives from Greek, refers to the kidney.",ciencia
49,"Erythrocytes are a type of blood cells, consisting mainly of hemoglobin. What does the word erythro mean?",ciencia
50,"The term thrombo, which comes from Greek, refers to a blood clot.",ciencia
51,"The word adeno, deriving from Greek, refers to which to what body part?",ciencia
52,The two terms nephro and ren both refer to the kidneys.,ciencia
53,"Onco, coming from the Greek word onkos refers to what?",ciencia
54,"The food colorants, cochineal and carmine, are made from what?",ciencia
55,"Jell-O, the popular gelatin dessert, is made in part, from what?",ciencia
56,"Twinkies, the sponge cake with creamy filling, created by Hostess, have an indefinite shelf life.",ciencia
57,"Which of these statements, related to the effects of eating turkey, is true?",ciencia
58,"The traditional Japanese dish, sushi, is always made with raw fish.",historia
59,What food results in negative calories when eaten?,ciencia
60,"Chop Suey, a pasta dish consisting of short noodles, was originally made and served in which country?",historia
61,"Gatorade, a non-carbonated sports drink, was invented by researchers at the University of Florida and named in honor of the Florida Gators, the schools football team.",historia
62,"In 2003, the FDA issued a warning about a possible connection between green onions and which disease?",ciencia
63,"In the USA, the color of the plastic tags, used to seal bread bags, indicates on what day the loaves were baked.",ciencia
64,Death of heart tissues due to loss of blood supply correctly describes the condition known as Myocardial Infarction.,ciencia
65,"This progressive generative disease of the brain results in loss of cognitive ability and uncontrolled movements, called chorea, the Greek word for dance.",ciencia
66,Which of these is best describes the cause of Parkinsons disease?,ciencia
67,"If your physician tells you that you have Presbycusis due to the normal process of aging, he may suggest that you need which of these?",ciencia
68,Which of these medical terms means difficulty in swallowing.,ciencia
69,Does the condition known as Hypoglycemia imply that blood sugar levels in the body are too high?,ciencia
70,"If you have hyperthyroidism, your body is overproducing what hormone?",ciencia
71,"Which of these most accurately describes the medical term, necrosis?",ciencia
72,"Your physician has ordered an electroencephalogram (EEG), the graphic recording of the electrical activity of what organ?",ciencia
73,"In the US, what was the average street cost of a lid (3/4 ounce bag) of marijuana in the mid 1970s?",historia
74,"Marijuana is known by many names, including all of these but one. Which is the odd name?",historia
75,What is marijuanas primary active ingredient?,ciencia
76,How many different chemicals can be found in marijuana?,ciencia
77,"According to anonymous researches, conducted in the USA in 2002, most teenagers aged 12-17 have at least tried Marijuana.",historia
78,Which side effect is not related to the use of marijuana?,ciencia
79,Marijuana is produced from parts of the male cannabis plants.,ciencia
80,"With the passage of the Marijuana Tax Act, the United States effectively banned recreational and medicinal use of cannabis. What year was this act adopted?",historia
81,"By amending its Opium Act in 1976, the government of which country decided to treat possession of up to 30 grams of marijuana as an activity not for prosecution, detection or arrest?",historia
82,"What US state enacted Proposition 215, the Compassionate Use Act, which allowed sick and dying patients to legally use marijuana for medicinal purposes?",historia
83,"The sphygmomanometer is a device invented by Samuel Siegfried Karl Ritter von Basch, used to measure what?",ciencia
84,"This disorder, from a Greek word meaning failure to put in order, is characterised by lack of muscular coordination, and often occurs when parts of the nervous system which control movement are damaged.",ciencia
85,This disorder is the abnormal accumulation of cerebrospinal fluid in the ventricles of the brain.,ciencia
86,"Tourette syndrome is a neurological disorder, characterized by tics -- involuntary, rapid, movements or vocalizations.",ciencia
87,"This is the colloquial equivalent of the medical term Herpes zoster, which is used to define a condition, caused by the varicella zoster virus.",ciencia
88,"Pre-eclampsia, thought to be caused by inflammatory mediators, is a medical condition associated with which of these?",ciencia
89,"Down Syndrome, named after Dr. John Langdon Down, is actually a chromosomal defect.",ciencia
90,"What medical term is synonym of jaundice, a condition characterized by yellowing of the skin, sclera and mucous membranes?",ciencia
91,The presence of gallstones in the gallbladder is defined by what medical term?,ciencia
92,Arthralgia is a severe heart disorder.,ciencia
93,"The term encephalon, defined as the brain of a vertebrate, derives from a Greek word which means what?",ciencia
94,Carcino is a word of Greek origin which refers to the small intestines.,ciencia
95,The term blepharo derives from a Greek word and refers to which part of the body?,ciencia
96,"An inguinal hernia occurs in the groin, the area between the abdomen and thigh.",ciencia
97,Which of these medical terms refers to air passages in the lungs?,ciencia
98,"The word phlebo is of Greek origin, which comes from the root phlein, meaning to gush or to overflow.  What part of the body does this word refer to?",ciencia
99,The medical prefix bucco refers to which part of the head?,ciencia
100,"The medical prefix oophoro, which derives from Greek, refers to which part of the body?",ciencia
